year,date,cpi_new_vehicles,cpi_all_items
2004,2004-07-01,135.9,189.1
2004,2004-08-01,134.9,189.2
2004,2004-09-01,134.9,189.8
2004,2004-10-01,135.9,190.8
2004,2004-11-01,137.9,191.7
2004,2004-12-01,138.8,191.7
2005,2005-01-01,139.8,191.6
2005,2005-02-01,139.9,192.4
2005,2005-03-01,139.1,193.1
2005,2005-04-01,138.8,193.7
2005,2005-05-01,138.7,193.6
2005,2005-06-01,138.1,193.7
2005,2005-07-01,136.3,194.9
2005,2005-08-01,135,196.1
2005,2005-09-01,135.8,198.8
2005,2005-10-01,137.1,199.1
2005,2005-11-01,138,198.1
2005,2005-12-01,138.3,198.1
2006,2006-01-01,139.3,199.3
2006,2006-02-01,139.3,199.4
2006,2006-03-01,138.8,199.7
2006,2006-04-01,138.4,200.7
2006,2006-05-01,137.7,201.3
2006,2006-06-01,137.2,201.8
2006,2006-07-01,136.9,202.9
2006,2006-08-01,136.4,203.8
2006,2006-09-01,136.3,202.8
2006,2006-10-01,136.8,201.9
2006,2006-11-01,136.8,202
2006,2006-12-01,137.1,203.1
2007,2007-01-01,137.603,203.437
2007,2007-02-01,137.34,204.226
2007,2007-03-01,137.228,205.288
2007,2007-04-01,136.963,205.904
2007,2007-05-01,136.295,206.755
2007,2007-06-01,135.82,207.234
2007,2007-07-01,135.415,207.603
2007,2007-08-01,135.204,207.667
2007,2007-09-01,134.927,208.547
2007,2007-10-01,135.344,209.19
2007,2007-11-01,136.25,210.834
2007,2007-12-01,136.664,211.445
2008,2008-01-01,136.827,212.174
2008,2008-02-01,136.279,212.687
2008,2008-03-01,135.727,213.448
2008,2008-04-01,135.175,213.942
2008,2008-05-01,134.669,215.208
2008,2008-06-01,134.516,217.463
2008,2008-07-01,134.397,219.016
2008,2008-08-01,133.404,218.69
2008,2008-09-01,132.399,218.877
2008,2008-10-01,132.264,216.995
2008,2008-11-01,132.359,213.153
2008,2008-12-01,132.308,211.398
2009,2009-01-01,133.273,211.933
2009,2009-02-01,134.186,212.705
2009,2009-03-01,134.611,212.495
2009,2009-04-01,134.863,212.709
2009,2009-05-01,135.162,213.022
2009,2009-06-01,135.719,214.79
2009,2009-07-01,136.055,214.726
2009,2009-08-01,134.08,215.445
2009,2009-09-01,134.576,215.861
2009,2009-10-01,137.268,216.509
2009,2009-11-01,138.831,217.234
2009,2009-12-01,138.857,217.347
2010,2010-01-01,138.743,217.488
2010,2010-02-01,138.851,217.281
2010,2010-03-01,138.6,217.353
2010,2010-04-01,138.174,217.403
2010,2010-05-01,137.75,217.29
2010,2010-06-01,137.503,217.199
2010,2010-07-01,137.323,217.605
2010,2010-08-01,137.119,217.923
2010,2010-09-01,137.365,218.275
2010,2010-10-01,137.849,219.035
2010,2010-11-01,138.222,219.59
2010,2010-12-01,138.567,220.472
2011,2011-01-01,138.925,221.187
2011,2011-02-01,140.158,221.898
2011,2011-03-01,140.86,223.046
2011,2011-04-01,141.462,224.093
2011,2011-05-01,142.494,224.806
2011,2011-06-01,143.054,224.806
2011,2011-07-01,142.763,225.395
2011,2011-08-01,142.327,226.106
2011,2011-09-01,142.334,226.597
2011,2011-10-01,142.535,226.75
2011,2011-11-01,142.736,227.169
2011,2011-12-01,142.953,227.223
2012,2012-01-01,143.438,227.842
2012,2012-02-01,144.326,228.329
2012,2012-03-01,144.35,228.807
2012,2012-04-01,144.522,229.187
2012,2012-05-01,144.401,228.713
2012,2012-06-01,144.367,228.524
